Fri 26/01/24 00:19:38 | TRACE    | utils_pyautogui:desktop:19 - Afficher bureau
Fri 26/01/24 00:19:38 | TRACE    | utils_pyautogui:clickOn:26 - Click family.png
Fri 26/01/24 00:19:43 | ERROR    | utils_pyautogui:clickOn:32 - NOT CLICK : family.png
Fri 26/01/24 00:20:46 | DEBUG    | utils_pyautogui:desktop:19 - Afficher bureau
Fri 26/01/24 00:20:46 | DEBUG    | utils_pyautogui:clickOn:26 - Click family.png
Fri 26/01/24 00:20:53 | ERROR    | utils_pyautogui:clickOn:32 - NOT CLICK : family.png
Fri 26/01/24 00:23:15 | DEBUG    | utils_pyautogui:desktop:19 - Afficher bureau
Fri 26/01/24 00:23:15 | DEBUG    | utils_pyautogui:clickOn:26 - Click family.png
Fri 26/01/24 00:24:02 | DEBUG    | utils_pyautogui:desktop:19 - Afficher bureau
Fri 26/01/24 00:24:03 | DEBUG    | utils_pyautogui:clickOn:26 - Click family.png
Fri 26/01/24 00:25:08 | DEBUG    | utils_pyautogui:desktop:19 - Afficher bureau
Fri 26/01/24 00:25:09 | DEBUG    | utils_pyautogui:clickOn:26 - Click family.png
Fri 26/01/24 00:25:09 | DEBUG    | utils_pyautogui:clickOn:26 - Click 
Fri 26/01/24 00:25:57 | DEBUG    | utils_pyautogui:desktop:19 - Afficher bureau
Fri 26/01/24 00:25:58 | DEBUG    | utils_pyautogui:clickOn:27 - Click family.png
Fri 26/01/24 00:25:59 | DEBUG    | utils_pyautogui:clickOn:27 - Click utilisateur.png
Fri 26/01/24 00:29:14 | DEBUG    | utils_pyautogui:desktop:19 - Afficher bureau
Fri 26/01/24 00:29:15 | DEBUG    | utils_pyautogui:clickOn:27 - Click family.png
Fri 26/01/24 00:29:16 | DEBUG    | utils_pyautogui:clickOn:27 - Click utilisateur.png
Fri 26/01/24 00:29:29 | ERROR    | utils_pyautogui:clickOn:33 - NOT CLICK : utilisateur.png
Fri 26/01/24 00:29:30 | DEBUG    | utils_pyautogui:clickOn:27 - Click insee.png
Fri 26/01/24 00:30:24 | DEBUG    | utils_pyautogui:desktop:19 - Afficher bureau
